# time of execution: 2022-11-10 16:45:44
#model:arbspin
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:100.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.8]
### sample paramters ###
# Sample: FGT
# S=2.0
# mu_at=2.0[mu_B]
# nx=1	ny=1	nz=1
# dx=3.9e-10	dy=3.9e-10	dz=1.63e-09	[m]
# atoms per unit cell:10
# asf=0.11
# gep=4.4e+17[W/m^3/K]
# factor cv_el=200.0[J/m^3/K^2]
# cv_ph computed with Einstein model, T_Ein=0.75*460[K]
# cvp_max=3993657.5330963344[J/m^3/K]
# R/g_ep = 1.362188731723016e-07[1/s]
# Tc=191[K]
# T_Deb=460[K]
### pulse paramters ###
# peak power:9.5e+21[W/m^3]
# sigma=1.5e-14[s]
# delay=2.5e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
-25.0	1.0	100.0	100.0	0	0	0	0
-24.99	0.9999454716804279	100.0	100.0	0.0	0.0	0.0	0.0
-24.98	0.9998909768467392	100.0	100.0	0.0	0.0	0.0	0.0
-24.97	0.9998365154720438	100.0	100.0	0.0	0.0	0.0	0.0
-24.96	0.9997820875294798	100.0	100.0	0.0	0.0	0.0	0.0
-24.95	0.9997276929922138	100.0	100.0	0.0	0.0	0.0	0.0
-24.94	0.9996733318334402	100.0	100.0	0.0	0.0	0.0	0.0
-24.93	0.9996190040263813	100.0	100.0	0.0	0.0	0.0	0.0
-24.92	0.9995647095442859	100.0	100.0	0.0	0.0	0.0	0.0
-24.91	0.9995104483604321	100.0	100.0	0.0	0.0	0.0	0.0
-24.9	0.9994562204481244	100.0	100.0	0.0	0.0	0.0	0.0
-24.89	0.9994020257806953	100.0	100.0	0.0	0.0	0.0	0.0
-24.88	0.9993478643315066	100.0	100.0	0.0	0.0	0.0	0.0
-24.87	0.9992937360739451	100.0	100.0	0.0	0.0	0.0	0.0
-24.86	0.9992396409814276	100.0	100.0	0.0	0.0	0.0	0.0
-24.85	0.9991855790273958	100.0	100.0	0.0	0.0	0.0	0.0
-24.84	0.9991315501853215	100.0	100.0	0.0	0.0	0.0	0.0
-24.83	0.9990775544287025	100.0	100.0	0.0	0.0	0.0	0.0
-24.82	0.9990235917310638	100.0	100.0	0.0	0.0	0.0	0.0
-24.81	0.9989696620659592	100.0	100.0	0.0	0.0	0.0	0.0
-24.8	0.9989157654069682	100.0	100.0	0.0	0.0	0.0	0.0
-24.79	0.9988619017276988	100.0	100.0	0.0	0.0	0.0	0.0
-24.78	0.9988080710017854	100.0	100.0	0.0	0.0	0.0	0.0
-24.77	0.9987542732028901	100.0	100.0	0.0	0.0	0.0	0.0
-24.76	0.9987005083047037	100.0	100.0	0.0	0.0	0.0	0.0
-24.75	0.9986467762809411	100.0	100.0	0.0	0.0	0.0	0.0
-24.74	0.998593077105346	100.0	100.0	0.0	0.0	0.0	0.0
-24.73	0.9985394107516892	100.0	100.0	0.0	0.0	0.0	0.0
-24.72	0.9984857771937689	100.0	100.0	0.0	0.0	0.0	0.0
-24.71	0.9984321764054096	100.0	100.0	0.0	0.0	0.0	0.0
-24.7	0.9983786083604627	100.0	100.0	0.0	0.0	0.0	0.0
-24.69	0.9983250730328078	100.0	100.0	0.0	0.0	0.0	0.0
-24.68	0.9982715703963501	100.0	100.0	0.0	0.0	0.0	0.0
-24.67	0.998218100425022	100.0	100.0	0.0	0.0	0.0	0.0
-24.66	0.9981646630927844	100.0	100.0	0.0	0.0	0.0	0.0
-24.65	0.9981112583736224	100.0	100.0	0.0	0.0	0.0	0.0
-24.64	0.9980578862415493	100.0	100.0	0.0	0.0	0.0	0.0
-24.63	0.9980045466706042	100.0	100.0	0.0	0.0	0.0	0.0
-24.62	0.9979512396348549	100.0	100.0	0.0	0.0	0.0	0.0
-24.61	0.9978979651083945	100.0	100.0	0.0	0.0	0.0	0.0
-24.6	0.9978447230653427	100.0	100.0	0.0	0.0	0.0	0.0
-24.59	0.9977915134798461	100.0	100.0	0.0	0.0	0.0	0.0
-24.58	0.9977383363260769	100.0	100.0	0.0	0.0	0.0	0.0
-24.57	0.9976851915782363	100.0	100.0	0.0	0.0	0.0	0.0
-24.56	0.99763207921055	100.0	100.0	0.0	0.0	0.0	0.0
-24.55	0.9975789991972708	100.0	100.0	0.0	0.0	0.0	0.0
-24.54	0.997525951512678	100.0	100.0	0.0	0.0	0.0	0.0
-24.53	0.9974729361310768	100.0	100.0	0.0	0.0	0.0	0.0
-24.52	0.9974199530267992	100.0	100.0	0.0	0.0	0.0	0.0
-24.51	0.997367002174204	100.0	100.0	0.0	0.0	0.0	0.0
-24.5	0.9973140835476747	100.0	100.0	0.0	0.0	0.0	0.0
-24.49	0.9972611971216231	100.0	100.0	0.0	0.0	0.0	0.0
-24.48	0.9972083428704861	100.0	100.0	0.0	0.0	0.0	0.0
-24.47	0.9971555207687278	100.0	100.0	0.0	0.0	0.0	0.0
-24.46	0.9971027307908372	100.0	100.0	0.0	0.0	0.0	0.0
-24.45	0.99704997291133	100.0	100.0	0.0	0.0	0.0	0.0
-24.44	0.9969972471047472	100.0	100.0	0.0	0.0	0.0	0.0
-24.43	0.9969445533456585	100.0	100.0	0.0	0.0	0.0	0.0
-24.42	0.9968918916086563	100.0	100.0	0.0	0.0	0.0	0.0
-24.41	0.9968392618683614	100.0	100.0	0.0	0.0	0.0	0.0
-24.4	0.9967866640994187	100.0	100.0	0.0	0.0	0.0	0.0
-24.39	0.996734098276502	100.0	100.0	0.0	0.0	0.0	0.0
-24.38	0.9966815643743081	100.0	100.0	0.0	0.0	0.0	0.0
-24.37	0.9966290623675607	100.0	100.0	0.0	0.0	0.0	0.0
-24.36	0.9965765922310097	100.0	100.0	0.0	0.0	0.0	0.0
