# time of execution: 2022-11-14 13:34:36
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:100.0[K]
# initial magnetization [x,y,z]:['0.8']
### sample paramters ###
# Sample: ['FGT']
# S=[2.0]
# mu_at=[2.0][mu_B]
# nz=1
# dx=[3.9e-10]	dy=[3.9e-10]	dz=[1.63e-09]	[m]
# atoms per unit cell:[10]
# asf=[0.02]
# Jint=[[0.0, 0.0]][J]
# Hex=0.0[J]
# gep=['4.4e+17'][W/m^3/K]
# factor cv_el=['200.0'][J/m^3/K^2]
# cv_ph_max=['519105.4817077737'][J/m^3/K]
# Tc=[191][K]
# T_Deb=[460][K]
# kappa=[0][W/m/K]
# D=[0][W/m^2]
### pulse paramters ###
# peak power:2.5e+21[W/m^3]
# sigma=1.5e-14[s]
# delay=2.5e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	T_p(acc) [K]	itinerant mag
0.0	[[1.0]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.01	[[0.9999801684313364]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.02	[[0.9999603429150672]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.03	[[0.9999405234487017]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.04	[[0.9999207100297491]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.05	[[0.9999009026557211]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.06	[[0.9998811013241293]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.07	[[0.9998613060324876]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.08	[[0.9998415167783116]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.09	[[0.9998217335591173]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.1	[[0.9998019563724228]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.11	[[0.9997821852157486]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.12	[[0.9997624200866135]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.13	[[0.9997426609825409]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.14	[[0.9997229079010541]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.15	[[0.9997031608396771]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.16	[[0.9996834197959352]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.17	[[0.9996636847673576]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.18	[[0.999643955751471]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.19	[[0.9996242327458061]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.2	[[0.9996045157478958]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.21	[[0.9995848047552722]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.22	[[0.9995650997654688]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.23	[[0.9995454007760226]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.24	[[0.9995257077844681]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.25	[[0.9995060207883448]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.26	[[0.9994863397851921]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.27	[[0.9994666647725502]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.28	[[0.9994469957479615]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.29	[[0.9994273327089703]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.3	[[0.9994076756531215]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.31	[[0.999388024577961]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.32	[[0.9993683794810353]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.33	[[0.9993487403598952]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.34	[[0.9993291072120896]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.35	[[0.9993094800351705]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.36	[[0.9992898588266905]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.37	[[0.999270243584203]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.38	[[0.9992506343052655]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.39	[[0.9992310309874335]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.4	[[0.9992114336282658]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.41	[[0.9991918422253213]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.42	[[0.9991722567761622]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.43	[[0.9991526772783492]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.44	[[0.9991331037294472]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.45	[[0.9991135361270194]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.46	[[0.9990939744686329]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.47	[[0.9990744187518554]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.48	[[0.9990548689742553]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.49	[[0.9990353251334038]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.5	[[0.9990157872268717]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.51	[[0.998996255252231]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.52	[[0.9989767292070566]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.53	[[0.9989572090889235]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.54	[[0.9989376948954093]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.55	[[0.99891818662409]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.56	[[0.9988986842725478]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.57	[[0.9988791878383613]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.58	[[0.9988596973191132]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.59	[[0.9988402127123874]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.6	[[0.9988207340157667]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.61	[[0.9988012612268391]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.62	[[0.9987817943431907]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.63	[[0.9987623333624106]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.64	[[0.9987428782820883]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.65	[[0.9987234290998148]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.66	[[0.9987039858131833]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.67	[[0.9986845484197872]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.68	[[0.9986651169172217]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.69	[[0.9986456913030812]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.7	[[0.9986262715749662]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.71	[[0.9986068577304741]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.72	[[0.9985874497672057]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.73	[[0.9985680476827636]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.74	[[0.9985486514747491]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.75	[[0.9985292611407671]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.76	[[0.9985098766784226]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.77	[[0.9984904980853234]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.78	[[0.998471125359077]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.79	[[0.9984517584972928]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.8	[[0.9984323974975815]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.81	[[0.9984130423575541]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.82	[[0.998393693074824]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.83	[[0.998374349647007]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.84	[[0.9983550120717194]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.85	[[0.9983356803465778]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.86	[[0.998316354469199]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.87	[[0.998297034437204]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.88	[[0.9982777202482144]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.89	[[0.9982584118998514]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.9	[[0.9982391093897383]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.91	[[0.9982198127155012]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.92	[[0.9982005218747659]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.93	[[0.998181236865159]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.94	[[0.9981619576843095]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.95	[[0.9981426843298474]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.96	[[0.9981234167994051]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.97	[[0.9981041550906135]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.98	[[0.9980848992011062]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
0.99	[[0.9980656491285196]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.0	[[0.9980464048704895]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.01	[[0.9980271664246532]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.02	[[0.9980079337886508]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.03	[[0.9979887069601211]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.04	[[0.9979694859367062]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.05	[[0.9979502707160488]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.06	[[0.9979310612957933]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.07	[[0.9979118576735844]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.08	[[0.9978926598470687]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.09	[[0.9978734678138945]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.1	[[0.9978542815717105]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.11	[[0.9978351011181668]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.12	[[0.9978159264509151]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.13	[[0.9977967575676077]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.14	[[0.9977775944658991]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.15	[[0.9977584371434461]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.16	[[0.9977392855979043]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.17	[[0.9977201398269308]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.18	[[0.9977009998281856]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.19	[[0.9976818655993284]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.2	[[0.9976627371380226]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.21	[[0.9976436144419303]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.22	[[0.9976244975087162]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.23	[[0.9976053863360445]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.24	[[0.9975862809215825]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.25	[[0.9975671812629986]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.26	[[0.9975480873579623]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.27	[[0.9975289992041428]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.28	[[0.9975099167992135]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.29	[[0.9974908401408464]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.3	[[0.9974717692267153]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.31	[[0.9974527040544958]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
